fold#	line	filename	origline	indx	err_indx	error	correction	types
fold0	52	ID2351.txt	16	238	238	Arbeitsaltag	Arbeitsalltag	['orth: 11 omissions: of double consonants']
fold0	52	ID2351.txt	16	289	288	schöne	Schöne	['orth: 02 lcp instead of cap: other cases']
fold0	53	ID2716.txt	1	44	44	Essayis	essayisten	['infl: strong_instead_of_weak']
fold0	53	ID2716.txt	1	68	65	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	54	ID2716.txt	2	31	31	ausläst	auslässt	['orth: 11 omissions: of double consonants']
fold0	56	ID2716.txt	4	48	48	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	56	ID2716.txt	4	108	107	sowiso	sowieso	['orth: 12 omissions: of a vowel: (i) instead of (ie)']
fold0	57	ID2716.txt	5	76	76	bzw	bzw.	['orth: 27 abbreviations']
fold0	57	ID2716.txt	5	172	171	2ten	Zweiten	['orth: Unknown']
fold0	59	ID2716.txt	7	50	50	bzw	bzw.	['orth: 27 abbreviations']
fold0	59	ID2716.txt	7	134	133	vehemment	vehement	['orth: 15 insertions: of double consonants']
fold0	62	ID2716.txt	10	50	50	Zu trifft	zutrifft	['orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep', 'orth: 06 sep instead of tog: compounds']
fold0	63	ID2716.txt	11	29	29	bzw	bzw.	['orth: 27 abbreviations']
fold0	68	ID2716.txt	16	27	27	Jugendlich	jugendliche	['infl: others']
fold0	69	ID2716.txt	17	40	40	disskutiertes	diskutiertes	['orth: 15 insertions: of double consonants']
fold0	74	ID2716.txt	22	0	0	Gleiches Problem beim Rauchen	das gleiche problem gibt es beim rauchen	['ommi: incomplete_clause']
fold0	75	ID2716.txt	23	73	73	Rauchen	rauchen	['orth: 03 cap instead of lcp']
fold0	77	ID2716.txt	25	65	65	Wirtschaf	Wirtschaft	['orth: 14 omissions: of one grapheme']
fold0	78	ID2716.txt	26	0	0	So wird dann in den Medien und in der Zeitung von und über uns geredet, geschrieben oder einfach nur gezeigt	so wird dann in den medien und in der zeitung von und über uns geredet, geschrieben oder wir werden einfach nur gezeigt	['ommi: ellipses']
fold0	78	ID2716.txt	26	143	132	als wie	als	['corr: incorrect_adjunctor']
fold0	79	ID2716.txt	27	51	51	Jung	jung	['orth: 03 cap instead of lcp']
fold0	80	ID2716.txt	28	4	4	Jugen	Jugend	['orth: 14 omissions: of one grapheme']
fold0	80	ID2716.txt	28	22	21	wundervolles	Wundervolles	['orth: 02 lcp instead of cap: other cases']
fold0	103	ID2326.txt	22	54	54	des öfteren	des Öfteren	['orth: 02 lcp instead of cap: other cases']
fold0	103	ID2326.txt	22	91	91	solche	solcher	['corr: case']
fold0	106	ID2326.txt	25	218	218	nur	Nur	['orth: 04 lcp/cap behind punctuation marks']
fold0	130	ID1756.txt	8	155	155	wenn sich zum Beispiel der Freund trennt	wenn sich zum beispiel der freund von einem trennt	['ommi: incomplete_clause']
fold0	141	ID1756.txt	19	24	24	einen	einem	['corr: case']
fold0	148	ID1756.txt	26	92	92	genau so	genauso	['orth: 07 sep instead of tog: other cases']
fold0	157	ID2331.txt	3	102	102	Klamottensüchtig	klamottensüchtig	['orth: 03 cap instead of lcp']
fold0	174	ID2331.txt	20	18	18	Rauchen	rauchen	['orth: 03 cap instead of lcp']
fold0	177	ID2331.txt	23	74	74	Rauchen	rauchen	['orth: 03 cap instead of lcp']
fold0	177	ID2331.txt	23	104	104	jahrlich	jährlich	['orth: 21 transpositions: of vowel and umlaut']
fold0	184	ID1456.txt	1	171	171	standpunkt	Standpunkt	['orth: 02 lcp instead of cap: other cases']
fold0	184	ID1456.txt	1	188	188	jugendliche	Jugendliche	['orth: 02 lcp instead of cap: other cases']
fold0	185	ID1456.txt	2	36	36	das	dass	['orth: 11 omissions: of double consonants']
fold0	186	ID1456.txt	3	124	124	souveränität	Souveränität	['orth: 02 lcp instead of cap: other cases']
fold0	187	ID1456.txt	4	59	59	weg	Weg	['orth: 02 lcp instead of cap: other cases']
fold0	187	ID1456.txt	4	92	92	das	dass	['orth: 11 omissions: of double consonants']
fold0	187	ID1456.txt	4	133	132	alter	Alter	['orth: 02 lcp instead of cap: other cases']
fold0	188	ID1456.txt	5	5	5	das	dass	['orth: 11 omissions: of double consonants']
fold0	188	ID1456.txt	5	49	48	schlicht weg	schlichtweg	['orth: 07 sep instead of tog: other cases']
fold0	188	ID1456.txt	5	66	66	beleidigung	Beleidigung	['orth: 02 lcp instead of cap: other cases']
fold0	188	ID1456.txt	5	82	82	fehleinschätzung	Fehleinschätzung	['orth: 02 lcp instead of cap: other cases']
fold0	188	ID1456.txt	5	127	127	das	dass	['orth: 11 omissions: of double consonants']
fold0	188	ID1456.txt	5	156	155	kindheit	Kindheit	['orth: 02 lcp instead of cap: other cases']
fold0	188	ID1456.txt	5	175	174	wo möglich	womöglich	['orth: 07 sep instead of tog: other cases']
fold0	188	ID1456.txt	5	189	189	mobbing opfer	Mobbingopfer	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	189	ID1456.txt	6	92	92	das	dass	['orth: 11 omissions: of double consonants']
fold0	189	ID1456.txt	6	121	120	Klamotten süchtig	klamottensüchtig	['orth: 06 sep instead of tog: compounds']
fold0	190	ID1456.txt	7	6	6	einschätzung	Einschätzung	['orth: 02 lcp instead of cap: other cases']
fold0	190	ID1456.txt	7	71	71	Jugendliche	jugendliche	['orth: 03 cap instead of lcp']
fold0	190	ID1456.txt	7	153	153	handlungen	Handlungen	['orth: 02 lcp instead of cap: other cases']
fold0	190	ID1456.txt	7	164	164	nach denken	nachdenken	['orth: 06 sep instead of tog: compounds']
fold0	190	ID1456.txt	7	194	195	prozentsatz	Prozentsatz	['orth: 02 lcp instead of cap: other cases']
fold0	190	ID1456.txt	7	222	223	Problem zone	Problemzone	['orth: 06 sep instead of tog: compounds']
fold0	191	ID1456.txt	8	32	32	das	dass	['orth: 11 omissions: of double consonants']
fold0	191	ID1456.txt	8	67	66	mit bürger	Mitbürger	['orth: 06 sep instead of tog: compounds']
fold0	191	ID1456.txt	8	115	115	das	dass	['orth: 11 omissions: of double consonants']
fold0	191	ID1456.txt	8	159	158	auserdem	außerdem	['orth: 23 transpositions: of consonants: other cases']
fold0	191	ID1456.txt	8	221	220	leben	Leben	['orth: 02 lcp instead of cap: other cases']
fold0	191	ID1456.txt	8	238	237	das	dass	['orth: 11 omissions: of double consonants']
fold0	191	ID1456.txt	8	262	260	Falsche	falsche	['orth: 03 cap instead of lcp']
fold0	192	ID1456.txt	9	40	40	das	dass	['orth: 11 omissions: of double consonants']
fold0	192	ID1456.txt	9	60	59	begriffe	Begriffe	['orth: 02 lcp instead of cap: other cases']
fold0	192	ID1456.txt	9	129	128	pöbel	Pöbel	['orth: 02 lcp instead of cap: other cases']
fold0	192	ID1456.txt	9	177	176	anzugreiffen	anzugreifen	['orth: 15 insertions: of double consonants']
fold0	194	ID1456.txt	11	0	0	Außer dem	Außerdem	['orth: 07 sep instead of tog: other cases']
fold0	195	ID1456.txt	12	0	0	Klamotten sucht	Klamottensucht	['orth: 06 sep instead of tog: compounds']
fold0	195	ID1456.txt	12	26	27	Physchisch	physisch	['orth: 03 cap instead of lcp', 'orth: 17 insertions: other cases']
fold0	195	ID1456.txt	12	97	100	pad	Part	['orth: Unknown']
fold0	196	ID1456.txt	13	4	4	das	dass	['orth: 11 omissions: of double consonants']
fold0	196	ID1456.txt	13	20	19	beispiel	Beispiel	['orth: 02 lcp instead of cap: other cases']
fold0	196	ID1456.txt	13	58	57	Motorads	Motorrads	['orth: 14 omissions: of one grapheme']
fold0	196	ID1456.txt	13	68	66	auführt	aufführt	['orth: 14 omissions: of one grapheme']
fold0	196	ID1456.txt	13	77	74	läß	lässt	['orth: 24 transpositions: of (ss) and (ß)', 'orth: 14 omissions: of one grapheme']
fold0	196	ID1456.txt	13	109	104	das	dass	['orth: 11 omissions: of double consonants']
fold0	196	ID1456.txt	13	136	130	familie	Familie	['orth: 02 lcp instead of cap: other cases']
fold0	197	ID1456.txt	14	36	36	das	dass	['orth: 11 omissions: of double consonants']
fold0	197	ID1456.txt	14	107	106	alter	Alter	['orth: 02 lcp instead of cap: other cases']
fold0	197	ID1456.txt	14	128	127	niveau	Niveau	['orth: 02 lcp instead of cap: other cases']
fold0	197	ID1456.txt	14	186	185	weltbild	Weltbild	['orth: 02 lcp instead of cap: other cases']
fold0	203	ID1505.txt	6	129	129	dazu	darauf	['corr: incorrect_pronominal_adverb']
fold0	205	ID1505.txt	8	50	50	dauer	Dauer	['orth: 02 lcp instead of cap: other cases']
fold0	205	ID1505.txt	8	104	104	nichts desto trotz	nichtsdestotrotz	['orth: 07 sep instead of tog: other cases']
fold0	209	ID1505.txt	12	14	14	Jugent	Jugend	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	209	ID1505.txt	12	102	102	Weiße	Weise	['orth: 23 transpositions: of consonants: other cases']
fold0	209	ID1505.txt	12	108	108	Kind sein	Kindsein	['orth: 06 sep instead of tog: compounds']
fold0	215	ID1835.txt	4	71	71	so viel	soviel	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	238	ID2165.txt	1	179	179	Geld-Knappheit	Geldknappheit	['orth: 10 missing or unnecessary hyphen']
fold0	240	ID2165.txt	3	16	16	eigendlich	eigentlich	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	241	ID2165.txt	4	28	28	Hanz	Hans	['orth: 28 Eigennamen']
fold0	241	ID2165.txt	4	41	41	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	242	ID2165.txt	5	91	91	eigendlich	eigentlich	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	245	ID2165.txt	8	35	35	weg bleiben	wegbleiben	['orth: 06 sep instead of tog: compounds']
fold0	246	ID2165.txt	9	66	66	kennen-lernt	kennenlernt	['orth: 10 missing or unnecessary hyphen']
fold0	247	ID2165.txt	10	44	44	jund	jung	['orth: 23 transpositions: of consonants: other cases']
fold0	250	ID2165.txt	13	36	36	dieser	diese	['corr: case']
fold0	252	ID2165.txt	15	41	41	Discothek	Diskothek	['orth: 23 transpositions: of consonants: other cases']
fold0	252	ID2165.txt	15	52	52	zukommen	zu kommen	['orth: 09 tog instead of sep: other cases']
fold0	252	ID2165.txt	15	70	69	sonstigen	sonstige	['corr: case']
fold0	253	ID2165.txt	16	39	39	mitsich	mit sich	['orth: 09 tog instead of sep: other cases']
fold0	256	ID2165.txt	19	0	0	Nunja	Nun ja	['orth: 09 tog instead of sep: other cases']
fold0	257	ID2165.txt	20	30	30	Hinderniss	Hindernis	['orth: 15 insertions: of double consonants']
fold0	260	ID2165.txt	23	34	34	ist nicht Weltende	es ist nicht das weltende	['ommi: incomplete_clause']
fold0	264	ID2165.txt	27	0	0	Schwere Entscheidungen, jedoch auch sehr aufregend	das sind schwere entscheidungen, jedoch auch sehr aufregend	['ommi: incomplete_clause']
fold0	266	ID2165.txt	29	71	71	nunja	nun ja	['orth: 09 tog instead of sep: other cases']
fold0	270	ID2165.txt	33	38	38	mitsich	mit sich	['orth: 09 tog instead of sep: other cases']
fold0	271	ID2165.txt	34	118	118	jüngeren	Jüngeren	['orth: 02 lcp instead of cap: other cases']
fold0	272	ID2165.txt	35	34	34		fitteste	['orth: 11 omissions: of double consonants']
fold0	276	ID2165.txt	39	63	63	soviel	so viel	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	277	ID2165.txt	40	69	69	ausgehen	Ausgehen	['orth: 02 lcp instead of cap: other cases']
fold0	277	ID2165.txt	40	83	83	party-machen	Partymachen	['orth: 02 lcp instead of cap: other cases']
fold0	277	ID2165.txt	40	111	112	eigendlich	eigentlich	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	277	ID2165.txt	40	203	204	hoffendlich	hoffentlich	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	278	ID2165.txt	41	41	41	das	dass	['orth: 11 omissions: of double consonants']
fold0	278	ID2165.txt	41	47	46	Jugend sowohl auch das Alter	sowohl jugend als auch das alter	['woor: deviating']
fold0	278	ID2165.txt	41	100	95	seinen	ihren	['corr: number']
fold0	278	ID2165.txt	41	119	115	eigendlich	eigentlich	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	279	ID2165.txt	42	87	87	zugenießen	zu genießen	['orth: 09 tog instead of sep: other cases']
fold0	280	ID2165.txt	43	96	96	jung sein	Jungsein	['orth: 06 sep instead of tog: compounds']
fold0	285	ID2832.txt	3	4	4	öfteren	Öfteren	['orth: 02 lcp instead of cap: other cases']
fold0	285	ID2832.txt	3	25	25	schonmal	schon mal	['orth: 09 tog instead of sep: other cases']
fold0	286	ID2832.txt	4	129	129	gegenüber zu stehen	gegenüberzustehen	['orth: 06 sep instead of tog: compounds']
fold0	287	ID2832.txt	5	93	93	es	sie	['corr: gender']
fold0	290	ID2832.txt	8	18	18	muss	müssen	['corr: number']
fold0	292	ID2832.txt	10	31	31	laut-sein	Laut-Sein	['orth: 02 lcp instead of cap: other cases']
fold0	292	ID2832.txt	10	43	43	tanzen	Tanzen	['orth: 02 lcp instead of cap: other cases']
fold0	292	ID2832.txt	10	54	54	feiern	Feiern	['orth: 02 lcp instead of cap: other cases']
fold0	304	ID2832.txt	22	91	91	18jährige	18-Jährige	['orth: 10 missing or unnecessary hyphen']
fold0	305	ID2832.txt	23	13	13	übrigen	Übrigen	['orth: 02 lcp instead of cap: other cases']
fold0	312	ID2832.txt	30	11	11	zweiten	Zweiten	['orth: 02 lcp instead of cap: other cases']
fold0	315	ID2832.txt	33	17	17	Focus	Fokus	['orth: 23 transpositions: of consonants: other cases']
fold0	318	ID2832.txt	36	55	55	schruppen	schrubben	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	321	ID2832.txt	39	187	187	garnicht	gar nicht	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	327	ID2832.txt	45	68	68	kaputt geht	kaputtgeht	['orth: 06 sep instead of tog: compounds']
fold0	337	ID2832.txt	55	38	38	super modern	supermodern	['orth: 06 sep instead of tog: compounds']
fold0	338	ID2832.txt	56	28	28	Wessies	Wessis	['orth: 16 insertions: of a vowel: (ie) instead of (i)']
fold0	339	ID2832.txt	57	21	21	erstmal	erst mal	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	345	ID2832.txt	63	9	9	Allem	allem	['orth: 03 cap instead of lcp']
fold0	354	ID1092.txt	5	49	49	äußeres	Äußeres	['orth: 02 lcp instead of cap: other cases']
fold0	359	ID1092.txt	10	0	0	Handy's	Handys	['orth: 26 missing or incorrect use of apostrophes']
fold0	359	ID1092.txt	10	9	10	I-Pod's	iPods	['orth: 28 Eigennamen', 'orth: 26 missing or incorrect use of apostrophes']
fold0	359	ID1092.txt	10	16	19	I-Phones	iPhones	['orth: 28 Eigennamen']
fold0	359	ID1092.txt	10	25	29	I-Pads-s	iPads	['orth: 28 Eigennamen', 'orth: 10 missing or unnecessary hyphen', 'orth: 17 insertions: other cases']
fold0	359	ID1092.txt	10	61	68	X-Box's	X-Boxes	['orth: 26 missing or incorrect use of apostrophes']
fold0	369	ID1092.txt	20	52	52	Crystl math	Crystal Meth	['orth: 28 Eigennamen']
fold0	370	ID1092.txt	21	61	61	Heute	heute	['orth: 03 cap instead of lcp']
fold0	379	ID1092.txt	30	55	55	Milliohnen	Millionen	['orth: 17 insertions: other cases']
fold0	381	ID1092.txt	32	7	7	widerum	wiederum	['orth: 12 omissions: of a vowel: (i) instead of (ie)']
fold0	386	ID1092.txt	37	42	42	positives	Positives	['orth: 02 lcp instead of cap: other cases']
fold0	387	ID1092.txt	38	36	36	Morgen	morgen	['orth: 03 cap instead of lcp']
fold0	389	ID1092.txt	40	13	13	vereinzelte	Vereinzelte	['orth: 02 lcp instead of cap: other cases']
fold0	393	ID1092.txt	44	98	98	inneren	Inneren	['orth: 02 lcp instead of cap: other cases']
fold0	394	ID1092.txt	45	25	25	tonight	Tonight	['orth: 04 lcp/cap behind punctuation marks']
fold0	394	ID1092.txt	45	57	57	Enricke	Enrique	['orth: 28 Eigennamen']
fold0	403	ID1451.txt	6	35	35	gleiche	Gleiche	['orth: 02 lcp instead of cap: other cases']
fold0	408	ID1451.txt	11	129	129	lebensnotwendige	Lebensnotwendige	['orth: 02 lcp instead of cap: other cases']
fold0	409	ID1451.txt	12	175	175	eingeschrenkt	eingeschränkt	['orth: 19 transpositions: of (e/ä) / (ä/e)']
fold0	413	ID1451.txt	16	191	191	ähnliches	Ähnliches	['orth: 02 lcp instead of cap: other cases']
fold0	414	ID1451.txt	17	140	140	nach dem	nachdem	['orth: 07 sep instead of tog: other cases']
fold0	423	ID1451.txt	26	12	12	das	dass	['orth: 11 omissions: of double consonants']
fold0	429	ID1451.txt	32	42	42	dass	dass	['orth: 11 omissions: of double consonants']
fold0	432	ID1451.txt	35	107	107	Schulstreß	Schulstress	['orth: 24 transpositions: of (ss) and (ß)']
fold0	435	ID1451.txt	38	134	134	jährige	Jährige	['orth: 02 lcp instead of cap: other cases']
fold0	440	ID1451.txt	43	78	78	Unabhängig sein	Unabhängigsein	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	440	ID1451.txt	43	98	99	selbstständig sein	Selbstständigsein	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	443	ID1451.txt	46	106	106	Eiversüchtig	eifersüchtig	['orth: 23 transpositions: of consonants: other cases']
fold0	444	ID1451.txt	47	49	49	vorallem	vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	450	ID2364.txt	5	48	48	erstrebenswertes	Erstrebenswertes	['orth: 02 lcp instead of cap: other cases']
fold0	452	ID2364.txt	7	0	0	Vorallem	Vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	453	ID2364.txt	8	77	77		vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	454	ID2364.txt	9	0	0	Desweiteren	Des Weiteren	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	457	ID2364.txt	12	92	92	dazu gehört	dazugehört	['orth: 06 sep instead of tog: compounds']
fold0	461	ID2364.txt	16	70	70	vorallem	vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	479	ID2364.txt	34	106	106	vorraus	voraus	['orth: 17 insertions: other cases']
fold0	483	ID2364.txt	38	104	104	gut aussehend	gutaussehend	['orth: 06 sep instead of tog: compounds']
fold0	484	ID2364.txt	39	57	57	frische	Frische	['orth: 02 lcp instead of cap: other cases']
fold0	485	ID2364.txt	40	36	36	vorallem	vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	490	ID2364.txt	45	18	18	soviele	so viele	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	496	ID1476.txt	3	11	11	Erwachsen sein	Erwachsensein	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	497	ID1476.txt	4	31	31	jung seins	Jungseins	['orth: 06 sep instead of tog: compounds']
fold0	500	ID1476.txt	7	96	96	niemanden	niemandem	['corr: case']
fold0	501	ID1476.txt	8	0	0	Oft verbauen sie ihre Zukunft damit	oft verbauen sie sich ihre zukunft damit	['ommi: incomplete_clause']
fold0	506	ID1476.txt	13	69	69	jung seins	Jungseins	['orth: 06 sep instead of tog: compounds']
fold0	514	ID1476.txt	21	67	67	Ausgehn	Ausgehen	['orth: 14 omissions: of one grapheme']
fold0	521	ID1476.txt	28	23	23	jung sein	Jungsein	['orth: 06 sep instead of tog: compounds']
fold0	528	ID1476.txt	35	41	41	Disko's	Diskos	['orth: 26 missing or incorrect use of apostrophes']
fold0	532	ID1476.txt	39	170	170	jeden	jedem	['corr: case']
fold0	533	ID1476.txt	40	51	51	Menschenkentniss	Menschenkenntnis	['orth: 11 omissions: of double consonants', 'orth: 15 insertions: of double consonants']
fold0	538	ID1476.txt	45	12	12	es	sie	['corr: gender']
fold0	547	ID1842.txt	6	41	41	mit machen	mitmachen	['orth: 06 sep instead of tog: compounds']
fold0	547	ID1842.txt	6	65	66	das	dass	['orth: 11 omissions: of double consonants']
fold0	549	ID1842.txt	8	101	101	consumieren	konsumieren	['orth: 23 transpositions: of consonants: other cases']
fold0	550	ID1842.txt	9	41	41	das	dass	['orth: 11 omissions: of double consonants']
fold0	551	ID1842.txt	10	10	10	Heim	heim	['orth: 03 cap instead of lcp']
fold0	551	ID1842.txt	10	47	47	frühs	früh	['orth: 17 insertions: other cases']
fold0	555	ID1842.txt	14	12	12	die jenigen	diejenigen	['orth: 07 sep instead of tog: other cases']
fold0	556	ID1842.txt	15	23	23	das	dass	['orth: 11 omissions: of double consonants']
fold0	567	ID1842.txt	26	69	69	Hip Hopper	Hip-Hopper	['orth: 10 missing or unnecessary hyphen']
fold0	568	ID1842.txt	27	9	9	dazu gehören	dazugehören	['orth: 06 sep instead of tog: compounds']
fold0	584	ID1510.txt	3	61	61	Aufregendste	aufregendste	['orth: 03 cap instead of lcp']
fold0	586	ID1510.txt	5	66	66	großer	größer	['orth: 21 transpositions: of vowel and umlaut']
fold0	589	ID1510.txt	8	47	47	zehn- Jähriger	Zehnjähriger	['orth: 02 lcp instead of cap: other cases', 'orth: 10 missing or unnecessary hyphen']
fold0	590	ID1510.txt	9	3	3	Zussammenhang	Zusammenhang	['orth: 15 insertions: of double consonants']
fold0	593	ID1510.txt	12	137	137	zurück bezahlen	zurückbezahlen	['orth: 06 sep instead of tog: compounds']
fold0	598	ID1510.txt	17	108	108	lebenlang	Leben lang	['orth: 09 tog instead of sep: other cases']
fold0	602	ID1510.txt	21	23	23	Schönste	schönste	['orth: 03 cap instead of lcp']
fold0	602	ID1510.txt	21	37	37	Spannendste	spannendste	['orth: 03 cap instead of lcp']
fold0	604	ID2969.txt	1	25	25	umpfangreiche	umfangreiche	['orth: 17 insertions: other cases']
fold0	612	ID2969.txt	9	21	21	ausprobier	Ausprobier-	['orth: 10 missing or unnecessary hyphen', 'orth: 02 lcp instead of cap: other cases']
fold0	612	ID2969.txt	9	38	37	kennlern Zeit	Kennlern-Zeit	['orth: 02 lcp instead of cap: other cases', 'orth: 10 missing or unnecessary hyphen']
fold0	615	ID2969.txt	12	28	28	dummes	Dummes	['orth: 02 lcp instead of cap: other cases']
fold0	626	ID2969.txt	23	9	9	allmälich	allmählich	['orth: 14 omissions: of one grapheme']
fold0	627	ID2969.txt	24	43	43	ausgehzeiten	Ausgehzeiten	['orth: 02 lcp instead of cap: other cases']
fold0	628	ID2969.txt	25	130	130	Schönste	schönste	['orth: 03 cap instead of lcp']
fold0	636	ID1516.txt	6	116	116	fall	Fall	['orth: 02 lcp instead of cap: other cases']
fold0	637	ID1516.txt	7	61	61	brägen	prägen	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	637	ID1516.txt	7	212	212	Konsumieren	konsumieren	['orth: 03 cap instead of lcp']
fold0	640	ID1516.txt	10	31	31	besonderes	Besonderes	['orth: 02 lcp instead of cap: other cases']
fold0	641	ID1516.txt	11	32	32	Erwachsen werdens	Erwachsenwerdens	['orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep', 'orth: 06 sep instead of tog: compounds']
fold0	658	ID2653.txt	16	18	18	Jugendlich	Jugendliche	['orth: 14 omissions: of one grapheme']
fold0	660	ID2653.txt	18	100	100	schlechten	Schlechten	['orth: 02 lcp instead of cap: other cases']
fold0	662	ID2653.txt	20	17	17	kernaussage	Kernaussage	['orth: 02 lcp instead of cap: other cases']
fold0	673	ID2653.txt	31	71	71	Verrückteste	verrückteste	['orth: 03 cap instead of lcp']
fold0	675	ID2653.txt	33	0	0	Nichts desto trotz	Nichtsdestotrotz	['orth: 07 sep instead of tog: other cases']
fold0	675	ID2653.txt	33	82	84	wen	wenn	['orth: 11 omissions: of double consonants']
fold0	686	ID2129.txt	2	84	84	ein	einen	['corr: case']
fold0	686	ID2129.txt	2	127	125	zweiten	Zweiten	['orth: 02 lcp instead of cap: other cases']
fold0	693	ID2129.txt	9	51	51	einen	einem	['corr: case']
fold0	694	ID2129.txt	10	14	14	Herr	herrn	['infl: strong_instead_of_weak']
fold0	698	ID2129.txt	14	90	90	es	sie	['corr: gender']
fold0	705	ID2129.txt	21	33	33	Herr	herrn	['infl: strong_instead_of_weak']
fold0	706	ID2129.txt	22	18	18	einen	einem	['corr: case']
fold0	710	ID2129.txt	26	60	60	Knöpfchen drücken	Knöpfchendrücken	['orth: 06 sep instead of tog: compounds']
fold0	712	ID2129.txt	28	60	60	das Selbe	dasselbe	['orth: 07 sep instead of tog: other cases']
fold0	714	ID2129.txt	30	66	66	Drogen nehmen	Drogennehmen	['orth: 06 sep instead of tog: compounds']
fold0	715	ID2129.txt	31	4	4	Jugendlichen	jugendliche	['corr: inflection_paradigm']
fold0	723	ID1250.txt	6	10	10	das	dass	['orth: 11 omissions: of double consonants']
fold0	729	ID1250.txt	12	106	106	Älter	älter	['orth: 03 cap instead of lcp']
fold0	737	ID1250.txt	20	125	125	ähnliches	Ähnliches	['orth: 02 lcp instead of cap: other cases']
fold0	751	ID1250.txt	34	36	36	ertapt	ertappt	['orth: 11 omissions: of double consonants']
fold0	754	ID1250.txt	37	78	78	Moralprädiger	Moralprediger	['orth: 19 transpositions: of (e/ä) / (ä/e)']
fold0	754	ID1250.txt	37	136	136	nocheinmal	noch einmal	['orth: 09 tog instead of sep: other cases']
